Informal ,formal 
ஓடுறீங்க,ஓடுகிறீர்கள்
ஓடினீங்க,ஓடினீர்கள்
ஓடினாங்க,ஓடினார்கள்
ஓடுது,ஓடுகின்றது
ஓடுறான்,ஓடுகிறான்
ஓடுறாள்,ஓடுகிறாள்
படிச்ச,படித்த
படிச்சிச்சி,படித்தது
படிச்சும்,படிக்கும்
படிச்சான்,படிதான்
படிச்சால்,படித்தாள்
படிச்சாங்க,படித்தார்கள்
படிப்பாங்க,படிப்பார்கள்
படிப்பீங்க,படிப்பீர்கள்
படிச்சுவோம்,படிப்போம்
படிக்கிறாங்க,படிக்கிறார்கள்
படிக்கிறீங்க,படிக்கிறீர்
படிச்சுறேன்,படிக்கிறேன்
படிச்சுவேன்,படிப்பேன்
படிச்சுது,படிக்கின்றது
படிச்சுறான்,படிக்கின்றான்
படிச்சுறாள்,படிக்கின்றாள்
படிச்சுவாங்க,படிப்பார்கள்
படிசீங்க,படித்தீர்கள்
படிச்சேன்,படித்தேன்
பாட்ற,பாடுதல்
பாட்ராங்க,பாடுகிறார்கள்
பாடுறீங்க,பாடுகிறீர்கள்
பாடுவாங்க,பாடுவார்கள்
பாடினீங்க,பாடினீர்கள்
பாடிச்சி,பாடியது
பாடுது,பாடுகிறது
பாடினாங்க,பாடினார்கள்
பாடுவீங்க,பாடுவீர்கள்
ஆட்ற,ஆடுதல்
ஆடுது,ஆடுகின்றது
ஆட்றான்,ஆடுகிறான்
ஆட்றால்,ஆடுகிறாள்
ஆட்றாங்க,ஆடுகிறார்கள்
ஆடுவீங்க,ஆடுவீர்கள்
ஆடினாங்க,ஆடினார்கள்
ஆடிச்சி,ஆடியது
ஆடினீங்க,ஆடினீர்கள்
ஆட்ரேன்,ஆடுகிறேன்
ஆடுவாங்க,ஆடுவார்கள்
ஆட்ரீங்க,ஆடுகிறீர்கள்
அடிச்ச,அடித்தல்
அடிச்சுற,அடிக்கிற
அடிச்சுறான்,அடிக்கிறான்
அடிச்சுறாள்,அடிக்கிறாள்
அடிச்சுது,அடிக்கிறது
அடிச்சுறாங்க,அடிக்கிறார்கள்
அடிசுவீங்க,அடிப்பீர்கள்
அடிச்சாங்க,அடித்தார்கள்
அடிச்சிச்சி,அடித்தது
அடிச்சும்,அடிக்கும்
அடிச்சுறேன்,அடிக்கிறேன்
அடிச்சுவேன்,அடிப்பேன்
அடிச்சான்,அடித்தான்
அடிச்சுவான்,அடிப்பான்
அடிச்சால்,அடித்தாள்
அடிச்சுவாள்,அடிப்பாள்
அடிச்சுவாங்க,அடிப்பார்கள்
அடிசுறீங்க,அடிக்கிறீர்கள்
அடிசீங்க,அடித்தீர்கள்
சென்ன,சொன்ன
சென்னான்,சொன்னான்
சென்னாள்,சொன்னாள்
சென்னாங்க,சொன்னார்கள்
செல்லுவாங்க,சொல்லுவார்கள்
செல்லுவீங்க,சொல்லுவீர்கள்
செல்லிச்சி,சொன்னது
சென்னேன்,சொன்னேன்
செல்லுவேன்,சொல்லுவேன்
செல்லும்,சொல்லும்
செல்றான்,சொல்கிறான்
செல்லுவான்,சொல்லுவான்
செல்றாள்,சொல்லுகிறாள்
செல்லுவாள்,சொல்லுவாள்
செல்றாங்க,சொல்லுகிறார்கள்
சொல்றீங்க,சொல்லுகிறீர்கள்
சென்னீங்க,சொன்னீர்கள்
சொல்லுது,சொல்லுகிறது
செல்றேன்,சொல்லுகிறேன்
அனுப்புற,அனுப்புகின்ற
அனுப்பிச்சி,அனுப்பியது
அனுப்புவாங்க,அனுப்புவார்கள்
அனுப்புவீங்க,அனுப்புவீர்கள்
அனுப்பியாச்சு,அனுப்பிவிட்டேன்
அனுப்பினாங்க,அனுப்பினார்கள்
அனுப்புது,அனுப்புகிறது
அனுப்புறாங்க,அனுப்புகிறார்கள்
அனுப்புறீங்க,அனுப்புகிறீர்கள்
அனுப்பினீங்க,அனுப்பினீர்கள்
செய்ற,செய்கின்ற
செஞ்சான்,செய்தான்
செஞ்சாள்,செய்தாள்
செய்வாங்க,செய்வார்கள்
செய்வீங்க,செய்வீர்கள்
செஞ்சாங்க,செய்தார்கள்
செய்றேன்,செய்கிறேன்
செஞ்சேன்,செய்தேன்
செய்றாங்க,செய்கிறார்கள்
செஞ்சிச்சி,செய்தது
செய்து,செய்கின்றது
செய்றான்,செய்கிறான்
செய்றான்,செய்கிறாள்
செய்றீங்க,செய்கிறீர்கள்
செஞ்சீங்க,செய்தீர்கள்
வச்ச,வைத்த
வெச்ச,வைத்த
வெச்சாள்,வைத்தாள்
வெச்சான்,வைத்தான்
வெச்சேன்,வைத்தேன்
வெச்சுவேன்,வைப்பேன்
வெச்சும்,வைக்கும்
வெச்சிச்சி,வைத்தது
வெச்சாங்க,வைத்தார்கள்
வெச்சுவாங்க,வைப்பார்கள்
வெச்சுறாங்க,வைக்கிறார்கள்
வெச்சுவீங்க,வைப்பீர்க
வெச்சுது,வைக்கின்றது
வெச்சுறான்,வைக்கின்றான்
வெச்சுறாள்,வைக்கின்றாள்
வெச்சுவான்,வைப்பான்
வெச்சுவாள்,வைப்பாள்
வெச்சுறேன்,வைக்கின்றேன்
வெச்சுறீங்க,வைக்கின்றீர்கள்
வெச்சுவீங்க,வைப்பீர்கள்
பாரு,பார்
பாப்பேன்,பார்ப்பேன்
பாத்தேன்,பார்த்தேன்
பாத்திச்சி,பார்த்தது
பாக்கும்,பார்க்கும்
பாப்பாங்க,பார்ப்பார்கள்
பாப்பீங்க,பார்ப்பீர்கள்
பாப்போம்,பார்ப்போம்
பாத்தோம்,பார்த்தோம்
பாக்குறாங்க,பார்க்கின்றார்கள்
பாக்குறேன்,பார்க்கின்றேன்
பாக்குது,பார்க்கின்றது
பாத்தாங்க,பார்த்தார்கள்
பாக்குறீங்க,பார்க்கின்றீர்கள்
பாத்தீங்க,பார்த்தீர்கள்
பாக்குறோம்,பாற்கின்றோம்
பாயிர,பாய்தல்
பாஞ்சான்,பாய்ந்தான்
பாஞ்சால்,பாய்ந்தாள்
பாஞ்சாங்க,பாய்ந்தனர்
பாயுவாங்க,பாய்வார்கள்
பாய்வீங்க,பாய்வீர்கள்
பாஞ்சேன்,பாய்ந்தேன்
பாயிவேன்,பாய்வேன்
பாஞ்சிச்சி,பாய்ந்தது
பாயிறீங்க,பாய்கின்றீர்
பாயிரங்க,பாய்கிறார்கள்
பாஞ்சீங்க,பாய்ந்தீர்கள்
பாயுரான்,பாய்கின்றான்
பாயிரால்,பாய்கின்றாள்
பாய்ரென்,பாய்கின்றேன்
மலச்சி,மலைத்து
மலச்சான்,மலைதான்
மலச்சால்,மலைத்தாள்
மலச்சேன்,மலைத்தேன்
மலச்சாங்க,மலைத்தனர்
மலப்பீங்க,மலைப்பீர்கள்
மலச்சுவேன்,மலைப்பேன்
மலசுறீங்க,மலைகிறீர்கள்
மலைப்பாங்க,மலைப்பார்கள்
மலச்சிச்சி,மலைத்தது
மலச்சுது,மலைக்கின்றது
மலச்சும்,மலைக்கும்
மலச்சுறான்,மலைக்கின்றான்
மலச்சுறாள்,மலைக்கின்றாள்
மலச்சுவான்,மலைப்பான்
மலச்சுவாள்,மலைப்பாள்
பெய்த்து,சென்று
பெய்த்தேன்,சென்றேன்
பெய்த்தால்,சென்றாள்
பெய்த்தேன்,சென்றேன்
பெய்த்தாங்க,சென்றார்கள்
போவாங்க,செல்வார்கள்
போவீங்க,செல்வீர்கள்
பெய்திச்சி,சென்றது
போகும்,செல்லும்
போறாங்க,செல்கின்றனர்
போறேன்,செல்கின்றேன்
போறீங்க,செல்கின்றீர்கள்
போனீங்க,சென்றீர்கள்
போஹுது,செல்கின்றது
போனேன்,சென்றேன்
போவோம்,செல்வோம்
போனோம்,சென்றோம்
எழும்புங்க,எழுந்திரு
எலும்பினாங்க,எழுந்தனர்
