informal,formal
ඉන්නවැයින්,සිටින නිසා
ගියැයින්,ගිය නිසා
දැනගත්තැයින්,දැනගත් නිසා
නැටුවැයින්,නර්ථනයේ යෙදුණු නිසා
නටන්න,නර්ථනයේ යෙදෙන්න
නැටුවා,නර්ථනයේ යෙදුනා
නටද්දී,නර්ථනයේ  යෙදෙද්දී
නටන්නැතුව,නර්ථනයේ නොයෙදී
නටවන්න,නර්ථනයේ යොදවන්න
නට නට,නර්ථනයේ යෙදෙමින්
ඇඩුවයින්,ඇඩුව නිසා
ඇඩුවැයින්,ඇඩුව නිසා
නෙමේ,නොවේ
නෙමේනම්,නොවේනම්
නොවුනැයින්,නොවුනු නිසා
හිටියා,සිටියා
හිටියේ,සිටියේ
හිටියනම්,සිටියනම්
හිටියොත්,සිටියොත්
හිටවන්න,සිටවන්න
හිටෙව්වනම්,සිටෙව්වනම්
හිටවලා,සිටවා
හිටියොතින්,සිටියොතින්
හිටෙව්වොත්,සිටෙව්වොත්
හිතන්න,සිතන්න
හිතුවා,සිතුවා
හිත හිත,සිතමින්
හිතුවැයින්,සිතුව නිසා
හිතිච්ච,සිතුණු
හිතලා,සිතා
හිතාගෙන,සිතාගෙන
හිතුවොත්,සිතුවේ නම්
නැතිවෙච්ච,නැතිවුණු
පිච්චිච්ච,පිළිස්සුනු
ගෙවිච්ච,ගෙවුණු
කැඩිච්ච,කැඩුණු
බැදිච්ච,බැදුණු
ඇහිච්ච,ඇසුණු
වෙච්ච,වුනු
පැරදිච්ච,පැරදුණු
නැවතිච්ච,නැවතුනු
තේරිච්ච,තේරුනු
පැහිච්ච,පැහුණු
හැන්ගුනොත්,සැගවුනොත්
හන්ගලා,සගවා
හැන්ගිච්ච,සැගවුණු
හන්ගපු,සගවාපු
පොරකන්න,රණ්ඩු කරන්න
පොරකෑවොත්,රණ්ඩු කළොත්
පොරකාවි,රණ්ඩු කරාවි
පොරකාපු,රණ්ඩු කරපු
පොර කකා,රණ්ඩු කරමින්
පොර කෑවේ,රණ්ඩු කළේ
අරින්න,විවෘත කරන්න
ඇරියොත්,විවෘත කළොත්
ඇරලා,විවෘත කරඇත
ඇරපු,විවෘත කරපු
ඇරිච්ච,විවෘත වෙච්ච
ඇරුණු,විවෘත වුණු
ඇරියේය,විවෘත කළේය
දෙඩුවොත්,කතා කළොත්
ඉන්න,සිටින්න
ඉද්දි,සිටිද්දි
ඉදිමින්,සිටිමින්
ඉදියා,සිටියා
ඉදියොත්,සිටියොත්
ඉන්නැතුව,නොසිට
ඉන්නවනම්,සිටී නම්
ඉන්නවද,සිටිනවද
ඉදීද,සිටීවිද
ඉදීවි,සිටීවි
ඉදී,සිටීවි
ඉදියෙ,සිටියේ
ඉදියොතින්,සිටියොතින්
ඉදියොත්,සිටියොත්
ඉන්නෙ,සිටින්නෙ
ඉන්නැත්තම්,සිටින්නේ නැතිනම්
ඉන්නැති,නොසිටින
ඉන්නැතුව,නොසිට
දන්නැතුව,නොදැනුවත්ව
දන්නැත්තම්,නොදනීනම්
දන්නෑ,නොදනී
දන්නැද්ද,නොදනීද
තියේ,තිබේ
තියේනම්,තිබේනම්
තියෙද්දි,තිබියදී
තියේද,තිබේද
තියෙනවා,තිබෙනවා
තියෙයිනම්,තිබේනම්
තියෙන්න,තිබෙන්න
වහන්න,වසා දමන්න
වහලා,වසා දමා ඇත
වැහිච්ච,වැසුණු
වහද්දි,වසද්දි
වැහුවොත්,වැසුවහොත්
වහලද,වසා දමලද
දොඩන්න,කතා කරන්න
දොඩන්නම්,කතා කරන්නම්
දෙඩුවොත්,කතා කළොත්
දොඩාවි,කතාකරාවි
දොඩපු,කතා කරපු
දොඩලා,කතා කරලා
දොඩවන්න,කියවන්න
දෙඩෙව්වොත්,කියෙව්වොත්
දොඩවපු,කියවපු
දොඩවලා,කියවලා
හන්ගන්න,සගවන්න
හැන්ගිලා,සැගවී
හන්ගපු,සැගවූ
හන්ගලා,සගවා
හන්ගන්නම්,සගවන්නම්
හැන්ගුණු,සැගවුණු
හැන්ගෙන්නම්,සැගවෙන්නම්
හැන්ගෙන්න,සැගවෙන්න
හැන්ගුවොත්,සැගෙව්වොත්
හැන්ගුනොත්,සැගවුණොත්
පටන් ගත්තොත්,ආරබ්භ කළොත්
පටන් ගත්තද,ආරම්භ කළාද
පටන් ගන්නකම්,ආරම්භ කරනතෙක්
හොල්ලනවා,සොලවනවා
හෙල්ලුවොත්,සෙලවුවහොත්
හොලවද්දී,සොලවද්දී
හොලවනකොට,සොලවන විට
හෙලෙව්වොත්,සෙලවුවහොත්
හොල්ලන්න,සොලවන්න
හෙලවිච්ච,සෙලවුණු
හෙලවුණු,සෙලවුණු
හෙලවිලා,සෙලවී
හයිකරනවා,සවිකරනවා
හයිකරොත්,සවිකරනවා
හයිකරද්දී,සවිකරන විට
හයිවෙච්ච,සවිවුණු
හයිකරත්,සවිකලද
හයිකරන්න,සවිකරන්න
උන්න,සිටිය
හයිකරනකම්,සවිකරන තෙක්
හෙලවෙනකම්,සෙලවෙන තෙක්
හන්ගනකම්,සඟවන තෙක්
ඉන්නකම්,සිටින තෙක්
වහනකම්,වසාදමන තෙක්
දොඩනකම්,කතා කරන තෙක්
ඔයනකම්,ලෙලි ගසන තෙක්
උහුලනවා,දරාගන්නවා
ඉහිලුවොත්,දරාගතහොත්
උහුලන්න,දරාගන්න
උහුලනවනම්,දරාගනීනම්
උහුලනකොට,දරාගන්නා විට
උහුලද්දී,දරාගන්නා විට
උහුලන්නට,දරාගැනීමට
උහුලන,දරාගන්න
